,processed,nonprocessed
934,one study demonstrated treated patients developed cirrhosis hepatocellular carcinoma less frequently untreated individuals,One study demonstrated that treated patients developed cirrhosis or hepatocellular carcinoma less frequently than untreated individuals.
935,overall studies poor quality,"Overall, the studies were of poor quality."
936,conclusion present systematic review demonstrated present enough evidence recommend treating population patients,"In conclusion, the present systematic review demonstrated that, at present, there is not enough evidence to recommend treating this population of patients."
937,objectives testing treatment hepatitis b virus hbv hepatitis c virus hcv infection highly effective highimpact interventions,"OBJECTIVES: Testing and treatment for hepatitis B virus (HBV) and hepatitis C virus (HCV) infection are highly effective, high-impact interventions."
938,article aims estimate costeffectiveness scaling interventions scenarios regions income groups,"This article aims to estimate the cost-effectiveness of scaling up these interventions by scenarios, regions, and income groups."
939,methods modeled costs impacts hepatitis elimination low middleincome countries,METHODS: We modeled costs and impacts of hepatitis elimination in 67 low- and middle-income countries from 2016 to 2030.
940,costs included testing treatment commodities healthcare consultations future savings cirrhosis hepatocellular carcinomas averted,"Costs included testing and treatment commodities, healthcare consultations, and future savings from cirrhosis and hepatocellular carcinomas averted."
941,modeled disease progression estimate disabilityadjusted lifeyears dalys averted,We modeled disease progression to estimate disability-adjusted life-years (DALYs) averted.
942,estimated incremental costeffectiveness ratios icers regions world bank income groups according scenarios flatline status quo progress testing treatment according world health organization guidelines ambitious elimination,"We estimated incremental cost-effectiveness ratios (ICERs) by regions and World Bank income groups, according to 3 scenarios: flatline (status quo), progress (testing/treatment according to World Health Organization guidelines), and ambitious (elimination)."
943,results compared action current levels testing treatment icer daly hbv daly costsaving hcv,"RESULTS: Compared with no action, current levels of testing and treatment had an ICER of $807/DALY for HBV and -$62/DALY (cost-saving) for HCV."
944,scaling progress scenario interventions icers less average gross domestic product capita countries hbv daly hcv daly,"Scaling up to progress scenario, both interventions had ICERs less than the average gross domestic product/capita of countries (HBV: $532/DALY; HCV: $613/DALY)."
945,scaling flatline elimination led higher icers across countries hbv daly hcv daly respectively remained lower average gross domestic product capita,"Scaling up from flatline to elimination led to higher ICERs across countries (HBV: $927/DALY; HCV: $2528/DALY, respectively) that remained lower than the average gross domestic product/capita."
946,sensitivity analysis indicated discount rates commodity costs main factors driving results,Sensitivity analysis indicated discount rates and commodity costs were main factors driving results.
947,conclusions scaling testing treatment hbv hcv infection per world health organization guidelines costeffective intervention,CONCLUSIONS: Scaling up testing and treatment for HBV and HCV infection as per World Health Organization guidelines is a cost-effective intervention.
948,elimination leads much larger impact though icers higher,Elimination leads to a much larger impact though ICERs are higher.
949,price reduction strategies needed achieve elimination given substantial budget impact current commodity prices,Price reduction strategies are needed to achieve elimination given the substantial budget impact at current commodity prices.
950,although glucocorticoids used immunosuppression patients primary hepatitis b virus hbv infectioninduced severe hepatitis treatment associated high frequency adverse events,"Although glucocorticoids have been used for immunosuppression of patients with primary hepatitis B virus (HBV) infection-induced severe hepatitis, the treatment is associated with a high frequency of adverse events."
951,conducted pilot study evaluating efficacy safety abatacept cytotoxic lymphocyte antigen immunoglobulin ctla acute hepatitis b,"We conducted a pilot study for evaluating the efficacy and safety of abatacept, a cytotoxic T lymphocyte antigen-4 immunoglobulin (CTLA4), for acute hepatitis B."
952,five patients severe acute hepatitis b prothrombin activity treated immunosuppression abatacept,Five patients with severe acute hepatitis B (prothrombin activity </= 60%) were treated for immunosuppression by abatacept.
953,four patients received abatacept concurrently methylprednisolone another patient treated abatacept alone,"Four patients received abatacept concurrently with methylprednisolone, and another patient was treated with abatacept alone."
954,rapid decrease serum alanine aminotransferase levels increase prothrombin activity improvement general condition obtained four five patients,"Rapid decrease in serum alanine aminotransferase levels, increase in prothrombin activity and improvement of general condition were obtained in four out of five patients."
